land;lan;kommun;ar
Sverige;Stockholms län;Upplands Väsby;44605
Sverige;Stockholms län;Vallentuna;33175
Sverige;Stockholms län;Österåker;44130
Sverige;Stockholms län;Värmdö;43444
Sverige;Stockholms län;Järfälla;76453
Sverige;Stockholms län;Ekerö;27753
Sverige;Stockholms län;Huddinge;110003
Sverige;Stockholms län;Botkyrka;91925
Sverige;Stockholms län;Salem;16665
Sverige;Stockholms län;Haninge;88037
Sverige;Stockholms län;Tyresö;47304
Sverige;Stockholms län;Upplands-Bro;27614
Sverige;Stockholms län;Nykvarn;10660
Sverige;Stockholms län;Täby;70405
Sverige;Stockholms län;Danderyd;32888
Sverige;Stockholms län;Sollentuna;71848
Sverige;Stockholms län;Stockholm;949761
Sverige;Stockholms län;Södertälje;96032
Sverige;Stockholms län;Nacka;101231
Sverige;Stockholms län;Sundbyberg;49424
Sverige;Stockholms län;Solna;79707
Sverige;Stockholms län;Lidingö;47185
Sverige;Stockholms län;Vaxholm;11831
Sverige;Stockholms län;Norrtälje;60808
Sverige;Stockholms län;Sigtuna;47146
Sverige;Stockholms län;Nynäshamn;28109
Sverige;Uppsala län;Håbo;21083
Sverige;Uppsala län;Älvkarleby;9402
Sverige;Uppsala län;Knivsta;18064
Sverige;Uppsala län;Heby;13854
Sverige;Uppsala län;Tierp;20930
Sverige;Uppsala län;Uppsala;219914
Sverige;Uppsala län;Enköping;43797
Sverige;Uppsala län;Östhammar;21927
Sverige;Södermanlands län;Vingåker;9180
Sverige;Södermanlands län;Gnesta;11019
Sverige;Södermanlands län;Nyköping;55467
Sverige;Södermanlands län;Oxelösund;12008
Sverige;Södermanlands län;Flen;16864
Sverige;Södermanlands län;Katrineholm;34133
Sverige;Södermanlands län;Eskilstuna;104709
Sverige;Södermanlands län;Strängnäs;35045
Sverige;Södermanlands län;Trosa;12916
Sverige;Östergötlands län;Ödeshög;5343
Sverige;Östergötlands län;Ydre;3733
Sverige;Östergötlands län;Kinda;9882
Sverige;Östergötlands län;Boxholm;5453
Sverige;Östergötlands län;Åtvidaberg;11631
Sverige;Östergötlands län;Finspång;21577
Sverige;Östergötlands län;Valdemarsvik;7920
Sverige;Östergötlands län;Linköping;158520
Sverige;Östergötlands län;Norrköping;140927
Sverige;Östergötlands län;Söderköping;14521
Sverige;Östergötlands län;Motala;43549
Sverige;Östergötlands län;Vadstena;7421
Sverige;Östergötlands län;Mjölby;27019
Sverige;Jönköpings län;Aneby;6776
Sverige;Jönköpings län;Gnosjö;9733
Sverige;Jönköpings län;Mullsjö;7328
Sverige;Jönköpings län;Habo;11845
Sverige;Jönköpings län;Gislaved;29629
Sverige;Jönköpings län;Vaggeryd;13840
Sverige;Jönköpings län;Jönköping;137481
Sverige;Jönköpings län;Nässjö;31178
Sverige;Jönköpings län;Värnamo;34206
Sverige;Jönköpings län;Sävsjö;11496
Sverige;Jönköpings län;Vetlanda;27415
Sverige;Jönköpings län;Eksjö;17416
Sverige;Jönköpings län;Tranås;18894
Sverige;Kronobergs län;Uppvidinge;9561
Sverige;Kronobergs län;Lessebo;8806
Sverige;Kronobergs län;Tingsryd;12451
Sverige;Kronobergs län;Alvesta;20026
Sverige;Kronobergs län;Älmhult;17148
Sverige;Kronobergs län;Markaryd;10170
Sverige;Kronobergs län;Växjö;91060
Sverige;Kronobergs län;Ljungby;28297
Sverige;Kalmar län;Högsby;6087
Sverige;Kalmar län;Torsås;7083
Sverige;Kalmar län;Mörbylånga;15000
