name,value,year,lastValue,rank
Kärnkraft,6585,200301,6585,1
Ospecificerad produktion,5233,200301,5233,2
Vattenkraft,1454,200301,1454,3
Övrig värmekraft,525,200301,525,4
Vindkraft,1,200301,1,5
Gasturbin & dieselkraft,0,200301,0,6
Kärnkraft,5821,200302,6585,1
Ospecificerad produktion,4564,200302,5233,2
Vattenkraft,1462,200302,1454,3
Övrig värmekraft,238,200302,525,4
Vindkraft,2,200302,1,5
Gasturbin & dieselkraft,0,200302,0,6
Kärnkraft,6790,200303,5821,1
Ospecificerad produktion,4026,200303,4564,2
Vattenkraft,1309,200303,1462,3
Övrig värmekraft,170,200303,238,4
Vindkraft,2,200303,2,5
Gasturbin & dieselkraft,0,200303,0,6
Kärnkraft,6414,200304,6790,1
Ospecificerad produktion,3633,200304,4026,2
Vattenkraft,1150,200304,1309,3
Övrig värmekraft,141,200304,170,4
Vindkraft,3,200304,2,5
Gasturbin & dieselkraft,1,200304,0,6
Kärnkraft,4857,200305,6414,1
Ospecificerad produktion,3784,200305,3633,2
Vattenkraft,1306,200305,1150,3
Övrig värmekraft,143,200305,141,4
Vindkraft,3,200305,3,5
Gasturbin & dieselkraft,0,200305,1,6
Kärnkraft,3754,200306,4857,1
Ospecificerad produktion,3333,200306,3784,2
Vattenkraft,1236,200306,1306,3
Övrig värmekraft,130,200306,143,4
Vindkraft,2,200306,3,5
Gasturbin & dieselkraft,0,200306,0,6
Kärnkraft,4803,200307,3754,1
Ospecificerad produktion,2764,200307,3333,2
Vattenkraft,977,200307,1236,3
Övrig värmekraft,116,200307,130,4
Vindkraft,1,200307,2,5
Gasturbin & dieselkraft,0,200307,0,6
Kärnkraft,4521,200308,4803,1
Ospecificerad produktion,2494,200308,2764,2
Vattenkraft,1081,200308,977,3
Vindkraft,2,200308,1,4
Gasturbin & dieselkraft,0,200308,0,5
Övrig värmekraft,0,200308,116,6
Kärnkraft,4439,200309,4521,1
Ospecificerad produktion,2887,200309,2494,2
Vattenkraft,1193,200309,1081,3
Övrig värmekraft,26,200309,0,4
Vindkraft,3,200309,2,5
Gasturbin & dieselkraft,0,200309,0,6
Kärnkraft,5032,200310,4439,1
Ospecificerad produktion,4026,200310,2887,2
Vattenkraft,1416,200310,1193,3
Övrig värmekraft,154,200310,26,4
Vindkraft,3,200310,3,5
Gasturbin & dieselkraft,0,200310,0,6
Kärnkraft,5817,200311,5032,1
Ospecificerad produktion,4449,200311,4026,2
Vattenkraft,1379,200311,1416,3
Övrig värmekraft,139,200311,154,4
Vindkraft,3,200311,3,5
Gasturbin & dieselkraft,0,200311,0,6
Kärnkraft,6789,200312,5817,1
Ospecificerad produktion,5000,200312,4449,2
Vattenkraft,1454,200312,1379,3
Övrig värmekraft,132,200312,139,4
Vindkraft,5,200312,3,5
Gasturbin & dieselkraft,0,200312,0,6
Kärnkraft,7005,200401,6789,1
Ospecificerad produktion,5487,200401,5000,2
Vattenkraft,1779,200401,1454,3
Övrig värmekraft,116,200401,132,4
Vindkraft,4,200401,5,5
Gasturbin & dieselkraft,0,200401,0,6
Kärnkraft,6308,200402,7005,1
Ospecificerad produktion,4963,200402,5487,2
Vattenkraft,1698,200402,1779,3
Övrig värmekraft,98,200402,116,4
Vindkraft,4,200402,4,5
Gasturbin & dieselkraft,0,200402,0,6
Kärnkraft,6966,200403,6308,1
Ospecificerad produktion,4632,200403,4963,2
Vattenkraft,1675,200403,1698,3
Övrig värmekraft,128,200403,98,4
Vindkraft,4,200403,4,5
Gasturbin & dieselkraft,0,200403,0,6
Kärnkraft,6737,200404,6966,1
Ospecificerad produktion,3769,200404,4632,2
Vattenkraft,1283,200404,1675,3
Övrig värmekraft,163,200404,128,4
Vindkraft,3,200404,4,5
Gasturbin & dieselkraft,0,200404,0,6
Kärnkraft,5944,200405,6737,1
Ospecificerad produktion,3580,200405,3769,2
Vattenkraft,1358,200405,1283,3
Övrig värmekraft,146,200405,163,4
Vindkraft,4,200405,3,5
Gasturbin & dieselkraft,0,200405,0,6
Kärnkraft,5352,200406,5944,1
Ospecificerad produktion,2157,200406,3580,2
Vattenkraft,781,200406,1358,3
Övrig värmekraft,106,200406,146,4
Vindkraft,4,200406,4,5
Gasturbin & dieselkraft,0,200406,0,6
Kärnkraft,5835,200407,5352,1
Ospecificerad produktion,3250,200407,2157,2
Vattenkraft,1510,200407,781,3
Övrig värmekraft,8,200407,106,4
Vindkraft,2,200407,4,5
Gasturbin & dieselkraft,0,200407,0,6
Kärnkraft,4904,200408,5835,1
Ospecificerad produktion,2909,200408,3250,2
Vattenkraft,1401,200408,1510,3
Övrig värmekraft,5,200408,8,4
Vindkraft,3,200408,2,5
Gasturbin & dieselkraft,0,200408,0,6
Kärnkraft,5636,200409,4904,1
Ospecificerad produktion,3478,200409,2909,2
Vattenkraft,1439,200409,1401,3
Övrig värmekraft,54,200409,5,4
Vindkraft,5,200409,3,5
Gasturbin & dieselkraft,0,200409,0,6
Kärnkraft,6883,200410,5636,1
Ospecificerad produktion,4651,200410,3478,2
Vattenkraft,1699,200410,1439,3
Övrig värmekraft,70,200410,54,4
Vindkraft,4,200410,5,5
Gasturbin & dieselkraft,0,200410,0,6
Kärnkraft,6735,200411,6883,1
Ospecificerad produktion,4933,200411,4651,2
Vattenkraft,1899,200411,1699,3
Övrig värmekraft,129,200411,70,4
Vindkraft,4,200411,4,5
Gasturbin & dieselkraft,0,200411,0,6
Kärnkraft,6929,200412,6735,1
Ospecificerad produktion,5626,200412,4933,2
Vattenkraft,1948,200412,1899,3
Övrig värmekraft,140,200412,129,4
Vindkraft,7,200412,4,5
Gasturbin & dieselkraft,0,200412,0,6
Kärnkraft,6914,200501,6929,1
Ospecificerad produktion,5862,200501,5626,2
Vattenkraft,2105,200501,1948,3
Övrig värmekraft,151,200501,140,4
Vindkraft,13,200501,7,5
Gasturbin & dieselkraft,0,200501,0,6
Kärnkraft,6077,200502,6914,1
Ospecificerad produktion,5470,200502,5862,2
Vattenkraft,2010,200502,2105,3
Övrig värmekraft,181,200502,151,4
Vindkraft,10,200502,13,5
Gasturbin & dieselkraft,0,200502,0,6
Kärnkraft,6257,200503,6077,1
Ospecificerad produktion,5103,200503,5470,2
Vattenkraft,2046,200503,2010,3
Övrig värmekraft,167,200503,181,4
Vindkraft,8,200503,10,5
Gasturbin & dieselkraft,0,200503,0,6
Kärnkraft,5990,200504,6257,1
Ospecificerad produktion,4308,200504,5103,2
Vattenkraft,1612,200504,2046,3
Övrig värmekraft,71,200504,167,4
Vindkraft,8,200504,8,5
Gasturbin & dieselkraft,0,200504,0,6
Kärnkraft,5162,200505,5990,1
