name,value,year,lastValue,rank,year2
Kärnkraft,6585,1,6585,1,200301
Ospecificerad produktion,5233,1,5233,2,200301
Vattenkraft,1454,1,1454,3,200301
Övrig värmekraft,525,1,525,4,200301
Vindkraft,1,1,1,5,200301
Gasturbin & dieselkraft,0,1,0,6,200301
Kärnkraft,5821,2,6585,1,200302
Ospecificerad produktion,4564,2,5233,2,200302
Vattenkraft,1462,2,1454,3,200302
Övrig värmekraft,238,2,525,4,200302
Vindkraft,2,2,1,5,200302
Gasturbin & dieselkraft,0,2,0,6,200302
Kärnkraft,6790,3,5821,1,200303
Ospecificerad produktion,4026,3,4564,2,200303
Vattenkraft,1309,3,1462,3,200303
Övrig värmekraft,170,3,238,4,200303
Vindkraft,2,3,2,5,200303
Gasturbin & dieselkraft,0,3,0,6,200303
Kärnkraft,6414,4,6790,1,200304
Ospecificerad produktion,3633,4,4026,2,200304
Vattenkraft,1150,4,1309,3,200304
Övrig värmekraft,141,4,170,4,200304
Vindkraft,3,4,2,5,200304
Gasturbin & dieselkraft,1,4,0,6,200304
Kärnkraft,4857,5,6414,1,200305
Ospecificerad produktion,3784,5,3633,2,200305
Vattenkraft,1306,5,1150,3,200305
Övrig värmekraft,143,5,141,4,200305
Vindkraft,3,5,3,5,200305
Gasturbin & dieselkraft,0,5,1,6,200305
Kärnkraft,3754,6,4857,1,200306
Ospecificerad produktion,3333,6,3784,2,200306
Vattenkraft,1236,6,1306,3,200306
Övrig värmekraft,130,6,143,4,200306
Vindkraft,2,6,3,5,200306
Gasturbin & dieselkraft,0,6,0,6,200306
Kärnkraft,4803,7,3754,1,200307
Ospecificerad produktion,2764,7,3333,2,200307
Vattenkraft,977,7,1236,3,200307
Övrig värmekraft,116,7,130,4,200307
Vindkraft,1,7,2,5,200307
Gasturbin & dieselkraft,0,7,0,6,200307
Kärnkraft,4521,8,4803,1,200308
Ospecificerad produktion,2494,8,2764,2,200308
Vattenkraft,1081,8,977,3,200308
Vindkraft,2,8,1,4,200308
Gasturbin & dieselkraft,0,8,0,5,200308
Övrig värmekraft,0,8,116,6,200308
Kärnkraft,4439,9,4521,1,200309
Ospecificerad produktion,2887,9,2494,2,200309
Vattenkraft,1193,9,1081,3,200309
Övrig värmekraft,26,9,0,4,200309
Vindkraft,3,9,2,5,200309
Gasturbin & dieselkraft,0,9,0,6,200309
Kärnkraft,5032,10,4439,1,200310
Ospecificerad produktion,4026,10,2887,2,200310
Vattenkraft,1416,10,1193,3,200310
Övrig värmekraft,154,10,26,4,200310
Vindkraft,3,10,3,5,200310
Gasturbin & dieselkraft,0,10,0,6,200310
Kärnkraft,5817,11,5032,1,200311
Ospecificerad produktion,4449,11,4026,2,200311
Vattenkraft,1379,11,1416,3,200311
Övrig värmekraft,139,11,154,4,200311
Vindkraft,3,11,3,5,200311
Gasturbin & dieselkraft,0,11,0,6,200311
Kärnkraft,6789,12,5817,1,200312
Ospecificerad produktion,5000,12,4449,2,200312
Vattenkraft,1454,12,1379,3,200312
Övrig värmekraft,132,12,139,4,200312
Vindkraft,5,12,3,5,200312
Gasturbin & dieselkraft,0,12,0,6,200312
Kärnkraft,7005,13,6789,1,200401
Ospecificerad produktion,5487,13,5000,2,200401
Vattenkraft,1779,13,1454,3,200401
Övrig värmekraft,116,13,132,4,200401
Vindkraft,4,13,5,5,200401
Gasturbin & dieselkraft,0,13,0,6,200401
Kärnkraft,6308,14,7005,1,200402
Ospecificerad produktion,4963,14,5487,2,200402
Vattenkraft,1698,14,1779,3,200402
Övrig värmekraft,98,14,116,4,200402
Vindkraft,4,14,4,5,200402
Gasturbin & dieselkraft,0,14,0,6,200402
Kärnkraft,6966,15,6308,1,200403
Ospecificerad produktion,4632,15,4963,2,200403
Vattenkraft,1675,15,1698,3,200403
Övrig värmekraft,128,15,98,4,200403
Vindkraft,4,15,4,5,200403
Gasturbin & dieselkraft,0,15,0,6,200403
Kärnkraft,6737,16,6966,1,200404
Ospecificerad produktion,3769,16,4632,2,200404
Vattenkraft,1283,16,1675,3,200404
Övrig värmekraft,163,16,128,4,200404
Vindkraft,3,16,4,5,200404
Gasturbin & dieselkraft,0,16,0,6,200404
Kärnkraft,5944,17,6737,1,200405
Ospecificerad produktion,3580,17,3769,2,200405
Vattenkraft,1358,17,1283,3,200405
Övrig värmekraft,146,17,163,4,200405
Vindkraft,4,17,3,5,200405
Gasturbin & dieselkraft,0,17,0,6,200405
Kärnkraft,5352,18,5944,1,200406
Ospecificerad produktion,2157,18,3580,2,200406
Vattenkraft,781,18,1358,3,200406
Övrig värmekraft,106,18,146,4,200406
Vindkraft,4,18,4,5,200406
Gasturbin & dieselkraft,0,18,0,6,200406
Kärnkraft,5835,19,5352,1,200407
Ospecificerad produktion,3250,19,2157,2,200407
Vattenkraft,1510,19,781,3,200407
Övrig värmekraft,8,19,106,4,200407
Vindkraft,2,19,4,5,200407
Gasturbin & dieselkraft,0,19,0,6,200407
Kärnkraft,4904,20,5835,1,200408
Ospecificerad produktion,2909,20,3250,2,200408
Vattenkraft,1401,20,1510,3,200408
Övrig värmekraft,5,20,8,4,200408
Vindkraft,3,20,2,5,200408
Gasturbin & dieselkraft,0,20,0,6,200408
Kärnkraft,5636,21,4904,1,200409
Ospecificerad produktion,3478,21,2909,2,200409
Vattenkraft,1439,21,1401,3,200409
Övrig värmekraft,54,21,5,4,200409
Vindkraft,5,21,3,5,200409
Gasturbin & dieselkraft,0,21,0,6,200409
Kärnkraft,6883,22,5636,1,200410
Ospecificerad produktion,4651,22,3478,2,200410
Vattenkraft,1699,22,1439,3,200410
Övrig värmekraft,70,22,54,4,200410
Vindkraft,4,22,5,5,200410
Gasturbin & dieselkraft,0,22,0,6,200410
Kärnkraft,6735,23,6883,1,200411
Ospecificerad produktion,4933,23,4651,2,200411
Vattenkraft,1899,23,1699,3,200411
Övrig värmekraft,129,23,70,4,200411
Vindkraft,4,23,4,5,200411
Gasturbin & dieselkraft,0,23,0,6,200411
Kärnkraft,6929,24,6735,1,200412
Ospecificerad produktion,5626,24,4933,2,200412
Vattenkraft,1948,24,1899,3,200412
Övrig värmekraft,140,24,129,4,200412
Vindkraft,7,24,4,5,200412
Gasturbin & dieselkraft,0,24,0,6,200412
Kärnkraft,6914,25,6929,1,200501
Ospecificerad produktion,5862,25,5626,2,200501
Vattenkraft,2105,25,1948,3,200501
Övrig värmekraft,151,25,140,4,200501
Vindkraft,13,25,7,5,200501
Gasturbin & dieselkraft,0,25,0,6,200501
Kärnkraft,6077,26,6914,1,200502
Ospecificerad produktion,5470,26,5862,2,200502
Vattenkraft,2010,26,2105,3,200502
Övrig värmekraft,181,26,151,4,200502
Vindkraft,10,26,13,5,200502
Gasturbin & dieselkraft,0,26,0,6,200502
Kärnkraft,6257,27,6077,1,200503
